~b~Michael              ,   player_zero
~p~Street Performer     ,   s_m_m_strperf_01
~p~Street Preacher      ,   s_m_m_strpreach_01
~y~Street Punk          ,   g_m_y_strpunk_01
~y~Street Punk          ,   g_m_y_strpunk_02
~g~Street Vend          ,   s_m_m_strvend_01
~g~Street Vend          ,   s_m_y_strvend_01
~y~Stwhi                ,   a_m_y_stwhi_01
~y~Stwhi                ,   a_m_y_stwhi_02
~y~Sunbathe             ,   a_m_y_sunbathe_01
~y~Surfer               ,   a_m_y_surfer_01
~r~Swat                 ,   s_m_y_swat_01
~q~Sweatshop            ,   s_f_m_sweatshop_01
~q~Sweatshop            ,   s_f_y_sweatshop_01
~y~Talina               ,   ig_talina
~g~Tanisha CS           ,   cs_tanisha
~g~Tanisha IG           ,   ig_tanisha
~g~Taocheng CS          ,   cs_taocheng
~g~Taocheng IG          ,   ig_taocheng
~g~Taos Translator CS   ,   cs_taostranslator
~g~Taos Translator IG   ,   ig_taostranslator
~y~Tap Hill Billy       ,   u_m_o_taphillbilly
~y~Tattoo               ,   u_m_y_tattoo_01
~g~Tennis Ho            ,   a_f_y_tennis_01
~g~Tennis Bro           ,   a_m_m_tennis_01
~g~Tennis Coach CS      ,   cs_tenniscoach
~g~Tennis Coach IG      ,   ig_tenniscoach
~g~Terry CS             ,   cs_terry
~g~Terry IG             ,   ig_terry
~y~Tom                  ,   cs_tom
~g~Tom Epsilon CS       ,   cs_tomepsilon
~g~Tom Epsilon IG       ,   ig_tomepsilon
~g~Tonya CS             ,   csb_tonya
~g~Tonya IG             ,   ig_tonya
~y~Tourist Ho           ,   a_f_m_tourist_01
~y~Tourist Ho           ,   a_f_y_tourist_01
~y~Tourist Ho           ,   a_f_y_tourist_02
~y~Tourist Bro          ,   a_m_m_tourist_01
~g~Tracy Disanto CS     ,   cs_tracydisanto
~g~Tracy Disanto IG     ,   ig_tracydisanto
~g~Traffic Warden CS    ,   csb_trafficwarden
~g~Traffic Warden IG    ,   ig_trafficwarden
~y~Tramp Ho             ,   a_f_m_tramp_01
~y~Tramp Bro            ,   a_m_m_tramp_01
~y~Tramp Bro            ,   a_m_o_tramp_01
~y~Tramp Bro            ,   u_m_o_tramp_01
~g~Tramp Beach Ho       ,   a_f_m_trampbeac_01
~g~Tramp Beach Bro      ,   a_m_m_trampbeac_01
~p~Tranvestite          ,   a_m_m_tranvest_01
~p~Tranvestite          ,   a_m_m_tranvest_02
~y~Trucker              ,   s_m_m_trucker_01
~y~Tylerdix             ,   ig_tylerdix
~y~Ups                  ,   s_m_m_ups_01
~y~Ups                  ,   s_m_m_ups_02
~r~Uscg                 ,   s_m_y_uscg_01
~y~Vagos                ,   g_f_y_vagos_01
~y~Valet                ,   s_m_y_valet_01
~y~Vindouche            ,   a_m_y_vindouche_01
~y~Vinewood Ho          ,   a_f_y_vinewood_01
~y~Vinewood Ho          ,   a_f_y_vinewood_02
~y~Vinewood Ho          ,   a_f_y_vinewood_03
~y~Vinewood Ho          ,   a_f_y_vinewood_04
~y~Vinewood Bro         ,   a_m_y_vinewood_01
~y~Vinewood Bro         ,   a_m_y_vinewood_02
~y~Vinewood Bro         ,   a_m_y_vinewood_03
~y~Vinewood Bro         ,   a_m_y_vinewood_04
~g~Wade CS              ,   cs_wade
~g~Wade IG              ,   ig_wade
~y~Waiter               ,   s_m_y_waiter_01
~y~Willyfist            ,   u_m_m_willyfist
~y~Winclean             ,   s_m_y_winclean_01
~y~Xmech                ,   s_m_y_xmech_01
~y~Xmech                ,   s_m_y_xmech_02
~g~Yoga Ho              ,   a_f_y_yoga_01
~g~Yoga Bro             ,   a_m_y_yoga_01
~g~Zimbor CS            ,   cs_zimbor
~g~Zimbor IG            ,   ig_zimbor
~y~Competition          ,   comp_peds_generic
~y~Competition Moped    ,   comp_peds_helmets_moped
~y~Competition MotoX    ,   comp_peds_helmets_motox
~y~Competition Shorty   ,   comp_peds_helmets_shorty
~y~Competition Sports   ,   comp_peds_helmets_sports
~y~Competition Marine   ,   comp_peds_marine
~g~Prisoner             ,   u_m_y_prisoner_01
~y~Boat Staff Female    ,   mp_f_boatstaff_01
~y~Boat Staff Male      ,   mp_m_boatstaff_01
~b~Chef                 ,   ig_chef2
~b~Chef                 ,   csb_chef2
~r~agent                ,   csb_agent
~r~agent                ,   ig_agent
~r~agent CS             ,   csb_mp_agent14
~r~agent IG             ,   ig_mp_agent14
~g~Benny                ,   ig_benny
~y~blackops             ,   s_m_y_blackops_03
~y~ccrew                ,   s_m_m_ccrew_01
~q~Karen Daniels        ,   ig_karen_daniels
~y~DOA Agent            ,   u_m_m_doa_01
~q~Drowned Female       ,   u_f_m_drowned_01
~g~Eddie Toh            ,   u_m_m_edtoh
~q~Executive Female     ,   mp_f_execpa_01
~y~Executive Male       ,   mp_m_execpa_01
~r~Female Agent         ,   a_f_y_femaleagent
~r~FBI Security         ,   s_m_m_fibsec_01
~g~Noir DeadZombie      ,   u_m_o_filmnoir
~g~G                    ,   ig_g
~y~Heli Staff Female    ,   mp_f_helistaff_01
~g~Jack Howitzer        ,   csb_jackhowitzer
~g~Money                ,   csb_money
~b~Money                ,   ig_money
~g~Paige CS             ,   csb_paige
~g~Paige IG             ,   ig_paige
~g~Popov CS             ,   csb_popov
~g~Popov IG             ,   ig_popov
~g~Rashcosvki CS        ,   csb_rashcosvki
~g~Rashcosvki IG        ,   ig_rashcosvki
~r~Undercover           ,   csb_undercover
~y~vagfun               ,   mp_m_g_vagfun_01
~b~vagspeak CS          ,   csb_vagspeak
~b~vagspeak IG          ,   ig_vagspeak
~o~mp_f_chbar           ,   mp_f_chbar_01
~o~mp_f_cocaine         ,   mp_f_cocaine_01
~o~mp_f_counterfeit     ,   mp_f_counterfeit_01
~o~mp_f_forgery         ,   mp_f_forgery_01
~o~mp_f_meth            ,   mp_f_meth_01
~o~mp_f_weed            ,   mp_f_weed_01
~o~ig_malc              ,   ig_malc
~o~mp_m_cocaine         ,   mp_m_cocaine_01
~o~mp_m_counterfeit     ,   mp_m_counterfeit_01
~o~mp_m_forgery         ,   mp_m_forgery_01
~o~mp_m_meth            ,   mp_m_meth_01
~o~mp_m_weed            ,   mp_m_weed_01
~o~MPMechanic           ,   s_m_y_xmech_02_mp
~o~Car Designer         ,   mp_f_cardesign_01
~o~Fem ImportExport     ,   g_f_importexport_01
~o~Male ImportExport    ,   g_m_importexport_01
~o~ cs_lestercrest_2 , cs_lestercrest_2
~o~ csb_avon , csb_avon
~o~ csb_bogdan , csb_bogdan
~o~ csb_mrs_r , csb_mrs_r
~o~ ig_avon , ig_avon
~o~ ig_lestercrest_2 , ig_lestercrest_2
~o~ mp_f_execpa_02 , mp_f_execpa_02
~o~ mp_m_avongoon , mp_m_avongoon
~o~ mp_m_bogdangoon , mp_m_bogdangoon
~o~ mp_m_securoguard_01 , mp_m_securoguard_01
~o~ mp_m_waremech_01 , mp_m_waremech_01
~o~ mp_m_weapexp_01 , mp_m_weapexp_01
~o~ mp_m_weapwork_01 , mp_m_weapwork_01
~o~ u_m_y_corpse_01 , u_m_y_corpse_01
~o~ u_m_y_juggernaut_01 , u_m_y_juggernaut_01
~o~ u_m_y_smugmech_01 , u_m_y_smugmech_01
